hull_D;hull_L;batt_MODEL;batt_D;batt_L;total_N;total_CAP;total_MASS
0.04;0.35;5;0.026199999999999998;0.05;7;56.0;455.0
0.04;0.35;6;0.0342;0.0615;5;60.0;675.0
0.04;0.35;7;0.033;0.091;3;78.0;765.0
0.04;0.36;0;0.014;0.04;45;45.0;495.0
0.04;0.36;1;0.014;0.025;70;70.0;490.0
0.04;0.36;2;0.0083;0.0425;136;85.0;816.0
0.04;0.36;3;0.0105;0.0445;72;86.4;864.0
0.04;0.36;4;0.0145;0.0505;35;94.5;840.0
0.04;0.36;5;0.026199999999999998;0.05;7;56.0;455.0
0.04;0.36;6;0.0342;0.0615;5;60.0;675.0
0.04;0.36;7;0.033;0.091;3;78.0;765.0
0.04;0.37;0;0.014;0.04;45;45.0;495.0
0.04;0.37;1;0.014;0.025;70;70.0;490.0
0.04;0.37;2;0.0083;0.0425;136;85.0;816.0
0.04;0.37;3;0.0105;0.0445;72;86.4;864.0
0.04;0.37;4;0.0145;0.0505;35;94.5;840.0
0.04;0.37;5;0.026199999999999998;0.05;7;56.0;455.0
0.04;0.37;6;0.0342;0.0615;6;72.0;810.0
0.04;0.37;7;0.033;0.091;4;104.0;1020.0
0.04;0.38;0;0.014;0.04;45;45.0;495.0
0.04;0.38;1;0.014;0.025;75;75.0;525.0
0.04;0.38;2;0.0083;0.0425;136;85.0;816.0
0.04;0.38;3;0.0105;0.0445;72;86.4;864.0
0.04;0.38;4;0.0145;0.0505;35;94.5;840.0
0.04;0.38;5;0.026199999999999998;0.05;7;56.0;455.0
0.04;0.38;6;0.0342;0.0615;6;72.0;810.0
0.04;0.38;7;0.033;0.091;4;104.0;1020.0
0.04;0.39;0;0.014;0.04;45;45.0;495.0
0.04;0.39;1;0.014;0.025;75;75.0;525.0
0.04;0.39;2;0.0083;0.0425;153;95.625;918.0
0.04;0.39;3;0.0105;0.0445;72;86.4;864.0
0.04;0.39;4;0.0145;0.0505;35;94.5;840.0
0.04;0.39;5;0.026199999999999998;0.05;7;56.0;455.0
0.04;0.39;6;0.0342;0.0615;6;72.0;810.0
0.04;0.39;7;0.033;0.091;4;104.0;1020.0
0.04;0.4;0;0.014;0.04;50;50.0;550.0
0.04;0.4;1;0.014;0.025;80;80.0;560.0
0.04;0.4;2;0.0083;0.0425;153;95.625;918.0
0.04;0.4;3;0.0105;0.0445;72;86.4;864.0
0.04;0.4;4;0.0145;0.0505;35;94.5;840.0
0.04;0.4;5;0.026199999999999998;0.05;8;64.0;520.0
0.04;0.4;6;0.0342;0.0615;6;72.0;810.0
0.04;0.4;7;0.033;0.091;4;104.0;1020.0
0.04;0.41;0;0.014;0.04;50;50.0;550.0
0.04;0.41;1;0.014;0.025;80;80.0;560.0
0.04;0.41;2;0.0083;0.0425;153;95.625;918.0
0.04;0.41;3;0.0105;0.0445;81;97.2;972.0
0.04;0.41;4;0.0145;0.0505;40;108.0;960.0
0.04;0.41;5;0.026199999999999998;0.05;8;64.0;520.0
0.04;0.41;6;0.0342;0.0615;6;72.0;810.0
0.04;0.41;7;0.033;0.091;4;104.0;1020.0
0.04;0.42;0;0.014;0.04;50;50.0;550.0
0.04;0.42;1;0.014;0.025;80;80.0;560.0
0.04;0.42;2;0.0083;0.0425;153;95.625;918.0
0.04;0.42;3;0.0105;0.0445;81;97.2;972.0
0.04;0.42;4;0.0145;0.0505;40;108.0;960.0
0.04;0.42;5;0.026199999999999998;0.05;8;64.0;520.0
0.04;0.42;6;0.0342;0.0615;6;72.0;810.0
0.04;0.42;7;0.033;0.091;4;104.0;1020.0
0.04;0.43;0;0.014;0.04;50;50.0;550.0
0.04;0.43;1;0.014;0.025;85;85.0;595.0
0.04;0.43;2;0.0083;0.0425;170;106.25;1020.0
0.04;0.43;3;0.0105;0.0445;81;97.2;972.0
0.04;0.43;4;0.0145;0.0505;40;108.0;960.0
0.04;0.43;5;0.026199999999999998;0.05;8;64.0;520.0
0.04;0.43;6;0.0342;0.0615;6;72.0;810.0
0.04;0.43;7;0.033;0.091;4;104.0;1020.0
0.04;0.44;0;0.014;0.04;55;55.0;605.0
0.04;0.44;1;0.014;0.025;85;85.0;595.0
0.04;0.44;2;0.0083;0.0425;170;106.25;1020.0
0.04;0.44;3;0.0105;0.0445;81;97.2;972.0
0.04;0.44;4;0.0145;0.0505;40;108.0;960.0
0.04;0.44;5;0.026199999999999998;0.05;8;64.0;520.0
0.04;0.44;6;0.0342;0.0615;7;84.0;945.0
0.04;0.44;7;0.033;0.091;4;104.0;1020.0
0.04;0.45;0;0.014;0.04;55;55.0;605.0
0.04;0.45;1;0.014;0.025;90;90.0;630.0
0.04;0.45;2;0.0083;0.0425;170;106.25;1020.0
0.04;0.45;3;0.0105;0.0445;90;108.0;1080.0
0.04;0.45;4;0.0145;0.0505;40;108.0;960.0
0.04;0.45;5;0.026199999999999998;0.05;9;72.0;585.0
0.04;0.45;6;0.0342;0.0615;7;84.0;945.0
0.04;0.45;7;0.033;0.091;4;104.0;1020.0
0.04;0.46;0;0.014;0.04;55;55.0;605.0
0.04;0.46;1;0.014;0.025;90;90.0;630.0
0.04;0.46;2;0.0083;0.0425;170;106.25;1020.0
0.04;0.46;3;0.0105;0.0445;90;108.0;1080.0
0.04;0.46;4;0.0145;0.0505;45;121.5;1080.0
0.04;0.46;5;0.026199999999999998;0.05;9;72.0;585.0
0.04;0.46;6;0.0342;0.0615;7;84.0;945.0
0.04;0.46;7;0.033;0.091;5;130.0;1275.0
0.04;0.47;0;0.014;0.04;55;55.0;605.0
0.04;0.47;1;0.014;0.025;90;90.0;630.0
0.04;0.47;2;0.0083;0.0425;187;116.875;1122.0
0.04;0.47;3;0.0105;0.0445;90;108.0;1080.0
0.04;0.47;4;0.0145;0.0505;45;121.5;1080.0
0.04;0.47;5;0.026199999999999998;0.05;9;72.0;585.0
0.04;0.47;6;0.0342;0.0615;7;84.0;945.0
0.04;0.47;7;0.033;0.091;5;130.0;1275.0
0.04;0.48;0;0.014;0.04;60;60.0;660.0
0.04;0.48;1;0.014;0.025;95;95.0;665.0
0.04;0.48;2;0.0083;0.0425;187;116.875;1122.0
0.04;0.48;3;0.0105;0.0445;90;108.0;1080.0
0.04;0.48;4;0.0145;0.0505;45;121.5;1080.0
0.04;0.48;5;0.026199999999999998;0.05;9;72.0;585.0
0.04;0.48;6;0.0342;0.0615;7;84.0;945.0
0.04;0.48;7;0.033;0.091;5;130.0;1275.0
0.04;0.49;0;0.014;0.04;60;60.0;660.0
0.04;0.49;1;0.014;0.025;95;95.0;665.0
0.04;0.49;2;0.0083;0.0425;187;116.875;1122.0
0.04;0.49;3;0.0105;0.0445;99;118.8;1188.0
0.04;0.49;4;0.0145;0.0505;45;121.5;1080.0
0.04;0.49;5;0.026199999999999998;0.05;9;72.0;585.0
0.04;0.49;6;0.0342;0.0615;7;84.0;945.0
0.04;0.49;7;0.033;0.091;5;130.0;1275.0
0.04;0.5;0;0.014;0.04;60;60.0;660.0
0.04;0.5;1;0.014;0.025;100;100.0;700.0
0.04;0.5;2;0.0083;0.0425;187;116.875;1122.0
0.04;0.5;3;0.0105;0.0445;99;118.8;1188.0
0.04;0.5;4;0.0145;0.0505;45;121.5;1080.0
0.04;0.5;5;0.026199999999999998;0.05;10;80.0;650.0
0.04;0.5;6;0.0342;0.0615;8;96.0;1080.0
0.04;0.5;7;0.033;0.091;5;130.0;1275.0
0.05;0.05;0;0.014;0.04;8;8.0;88.0
0.05;0.05;1;0.014;0.025;16;16.0;112.0
0.05;0.05;2;0.0083;0.0425;28;17.5;168.0
0.05;0.05;3;0.0105;0.0445;16;19.2;192.0
0.05;0.05;5;0.026199999999999998;0.05;1;8.0;65.0
0.05;0.06;0;0.014;0.04;8;8.0;88.0
0.05;0.06;1;0.014;0.025;16;16.0;112.0
0.05;0.06;2;0.0083;0.0425;28;17.5;168.0
0.05;0.06;3;0.0105;0.0445;16;19.2;192.0
0.05;0.06;4;0.0145;0.0505;8;21.6;192.0
0.05;0.06;5;0.026199999999999998;0.05;1;8.0;65.0
0.05;0.07;0;0.014;0.04;8;8.0;88.0
0.05;0.07;1;0.014;0.025;16;16.0;112.0
0.05;0.07;2;0.0083;0.0425;28;17.5;168.0
0.05;0.07;3;0.0105;0.0445;16;19.2;192.0
0.05;0.07;4;0.0145;0.0505;8;21.6;192.0
0.05;0.07;5;0.026199999999999998;0.05;1;8.0;65.0
0.05;0.07;6;0.0342;0.0615;1;12.0;135.0
0.05;0.08;0;0.014;0.04;16;16.0;176.0
0.05;0.08;1;0.014;0.025;24;24.0;168.0
0.05;0.08;2;0.0083;0.0425;28;17.5;168.0
0.05;0.08;3;0.0105;0.0445;16;19.2;192.0
0.05;0.08;4;0.0145;0.0505;8;21.6;192.0
0.05;0.08;5;0.026199999999999998;0.05;1;8.0;65.0
0.05;0.08;6;0.0342;0.0615;1;12.0;135.0
0.05;0.09;0;0.014;0.04;16;16.0;176.0
0.05;0.09;1;0.014;0.025;24;24.0;168.0
0.05;0.09;2;0.0083;0.0425;56;35.0;336.0
0.05;0.09;3;0.0105;0.0445;32;38.4;384.0
0.05;0.09;4;0.0145;0.0505;8;21.6;192.0
0.05;0.09;5;0.026199999999999998;0.05;1;8.0;65.0
0.05;0.09;6;0.0342;0.0615;1;12.0;135.0
0.05;0.1;0;0.014;0.04;16;16.0;176.0
0.05;0.1;1;0.014;0.025;32;32.0;224.0
0.05;0.1;2;0.0083;0.0425;56;35.0;336.0
0.05;0.1;3;0.0105;0.0445;32;38.4;384.0
0.05;0.1;4;0.0145;0.0505;8;21.6;192.0
0.05;0.1;5;0.026199999999999998;0.05;2;16.0;130.0
0.05;0.1;6;0.0342;0.0615;1;12.0;135.0
0.05;0.1;7;0.033;0.091;1;26.0;255.0
0.05;0.11;0;0.014;0.04;16;16.0;176.0
0.05;0.11;1;0.014;0.025;32;32.0;224.0
0.05;0.11;2;0.0083;0.0425;56;35.0;336.0
0.05;0.11;3;0.0105;0.0445;32;38.4;384.0
0.05;0.11;4;0.0145;0.0505;16;43.2;384.0
0.05;0.11;5;0.026199999999999998;0.05;2;16.0;130.0
0.05;0.11;6;0.0342;0.0615;1;12.0;135.0
0.05;0.11;7;0.033;0.091;1;26.0;255.0
0.05;0.12;0;0.014;0.04;24;24.0;264.0
0.05;0.12;1;0.014;0.025;32;32.0;224.0
0.05;0.12;2;0.0083;0.0425;56;35.0;336.0
0.05;0.12;3;0.0105;0.0445;32;38.4;384.0
0.05;0.12;4;0.0145;0.0505;16;43.2;384.0
0.05;0.12;5;0.026199999999999998;0.05;2;16.0;130.0
0.05;0.12;6;0.0342;0.0615;1;12.0;135.0
0.05;0.12;7;0.033;0.091;1;26.0;255.0
0.05;0.13;0;0.014;0.04;24;24.0;264.0
0.05;0.13;1;0.014;0.025;40;40.0;280.0
0.05;0.13;2;0.0083;0.0425;84;52.5;504.0
0.05;0.13;3;0.0105;0.0445;32;38.4;384.0
0.05;0.13;4;0.0145;0.0505;16;43.2;384.0
0.05;0.13;5;0.026199999999999998;0.05;2;16.0;130.0
0.05;0.13;6;0.0342;0.0615;2;24.0;270.0
0.05;0.13;7;0.033;0.091;1;26.0;255.0
0.05;0.14;0;0.014;0.04;24;24.0;264.0
0.05;0.14;1;0.014;0.025;40;40.0;280.0
0.05;0.14;2;0.0083;0.0425;84;52.5;504.0
0.05;0.14;3;0.0105;0.0445;48;57.6;576.0
0.05;0.14;4;0.0145;0.0505;16;43.2;384.0
0.05;0.14;5;0.026199999999999998;0.05;2;16.0;130.0
0.05;0.14;6;0.0342;0.0615;2;24.0;270.0
0.05;0.14;7;0.033;0.091;1;26.0;255.0
0.05;0.15;0;0.014;0.04;24;24.0;264.0
0.05;0.15;1;0.014;0.025;48;48.0;336.0
0.05;0.15;2;0.0083;0.0425;84;52.5;504.0
0.05;0.15;3;0.0105;0.0445;48;57.6;576.0
0.05;0.15;4;0.0145;0.0505;16;43.2;384.0
0.05;0.15;5;0.026199999999999998;0.05;3;24.0;195.0
0.05;0.15;6;0.0342;0.0615;2;24.0;270.0
0.05;0.15;7;0.033;0.091;1;26.0;255.0
0.05;0.16;0;0.014;0.04;32;32.0;352.0
0.05;0.16;1;0.014;0.025;48;48.0;336.0
0.05;0.16;2;0.0083;0.0425;84;52.5;504.0
0.05;0.16;3;0.0105;0.0445;48;57.6;576.0
0.05;0.16;4;0.0145;0.0505;24;64.8;576.0
0.05;0.16;5;0.026199999999999998;0.05;3;24.0;195.0
0.05;0.16;6;0.0342;0.0615;2;24.0;270.0
0.05;0.16;7;0.033;0.091;1;26.0;255.0
0.05;0.17;0;0.014;0.04;32;32.0;352.0
0.05;0.17;1;0.014;0.025;48;48.0;336.0
0.05;0.17;2;0.0083;0.0425;112;70.0;672.0
0.05;0.17;3;0.0105;0.0445;48;57.6;576.0
0.05;0.17;4;0.0145;0.0505;24;64.8;576.0
0.05;0.17;5;0.026199999999999998;0.05;3;24.0;195.0
0.05;0.17;6;0.0342;0.0615;2;24.0;270.0
0.05;0.17;7;0.033;0.091;1;26.0;255.0
0.05;0.18;0;0.014;0.04;32;32.0;352.0
0.05;0.18;1;0.014;0.025;56;56.0;392.0
0.05;0.18;2;0.0083;0.0425;112;70.0;672.0
0.05;0.18;3;0.0105;0.0445;64;76.8;768.0
0.05;0.18;4;0.0145;0.0505;24;64.8;576.0
0.05;0.18;5;0.026199999999999998;0.05;3;24.0;195.0
0.05;0.18;6;0.0342;0.0615;2;24.0;270.0
0.05;0.18;7;0.033;0.091;1;26.0;255.0
0.05;0.19;0;0.014;0.04;32;32.0;352.0
