N;radius;distance;ratio;density;contacts;loose;boundary;symmetry group;reference
1642;0.023086262891403769908848902989;0.047263667229683846421612414124;43.3158023324923932765629202978;0.875145827305833090737090030645;4231;26;108;;[31]
1643;0.023078760719649159011836956653;0.047247945467231587926375988608;43.3298829234190309219446385552;0.875109769610970850369709742886;4269;39;107;;[31]
1644;0.023071061266330519672492535200;0.047231810527050332355572782310;43.3443433076648933487144331502;0.875058238917652404860867937466;3856;30;105;;[31]
1645;0.023061703547844556250340792316;0.047212200876135844369780271866;43.3619310874137137772512551481;0.874880370519655887415850476497;4105;29;107;;[31]
1646;0.023056672714034924015559812534;0.047201658622488162137319344660;43.3713924121968302497432805696;0.875030317832933781476295133291;4181;35;108;;[31]
1647;0.023043963264837095540460925381;0.047175026098096457102692697471;43.3953130590997446645348829410;0.874596928140563042318540369153;4163;34;107;;[31]
1648;0.023038671923111592058878724783;0.047163938348434631166806137928;43.4052797547255699712132726738;0.874726105760309592166950476438;4240;38;101;;[31]
1649;0.023031773221232496884548833065;0.047149482633989479310906835580;43.4182809284576267646668830784;0.874732790650851588356267649627;4223;29;111;;[31]
1650;0.023028060634734385169578704390;0.047141703270813725090818960459;43.4252808285405315289274220993;0.874981101385055633733726844447;4264;40;103;;[31]
1651;0.023024612222221516232274031868;0.047134477511440981688227033579;43.4317846636687280274651056396;0.875249199941043178598323604279;3093;111;68;;[31]
1652;0.023004598575330521045499067409;0.047092542179389723392396852437;43.4695696482342288553701091820;0.874257489871187611717144328495;4142;35;101;;[31]
1653;0.023001377210523221378495729574;0.047085792495491670180482705671;43.4756576029063177342674869513;0.874541723469024395352183537453;4226;41;105;;[31]
1654;0.022993596618971826615096651983;0.047069490106513510119492718896;43.4903689305790578765945520685;0.874478872977291787302776389172;4149;39;102;;[31]
1655;0.022984273461889033830180310672;0.047049955978354406130204753596;43.5080100164198053878862601053;0.874298147974833727127769360623;4094;28;107;;[31]
1656;0.022979780241802995555293242393;0.047040541796545966090174955662;43.5165171066727273922279564876;0.874484416736342268483902419421;3002;33;100;;[31]
1657;0.022971070230502113442488313113;0.047022292852518670830344596110;43.5330173982120765459990544958;0.874349301904932314617555476257;3073;38;102;;[31]
